species,lat,N,Texp,peak_distance
Spea_intermontana,temperate,8,27,0.08075
Pseudacris_regilla,temperate,10,27,0.2174
Ascaphus_truei,temperate,10,24,0.3062
Limnodynastes_tasmaniensis,temperate,60,30,0.345
Rana_clamitans,temperate,9,20,0.474444444
Rana_pipiens,temperate,5,25,0.647
Limnodynastes peronii,temperate,17,30,0.67
Limnodynastes peronii,temperate,12,16,0.94
Limnodynastes peronii,temperate,24,24,0.98
Limnodynastes peronii,tropical,13,28,1.07
Limnodynastes peronii,tropical,14,28,1.16
Limnodynastes peronii,temperate,22,32,1.16
